emp_id,days_present,days_absent,leaves_taken,salary_prev,salary_curr,overtime_hours,risk_label
EMP1054,29,1,5,80713,92359,59,1
EMP1055,24,6,0,36371,43206,48,1
EMP1056,16,14,0,40932,55424,31,1
EMP1057,25,5,0,27400,41954,18,1
EMP1058,17,13,3,26295,33478,51,1
EMP1059,25,5,0,52711,53250,37,0
EMP1060,22,8,3,68354,65911,24,0
EMP1061,17,13,0,88497,97704,45,1
EMP1062,16,14,1,22869,35209,40,1
EMP1063,18,12,0,58467,57454,55,1
EMP1064,22,8,2,90271,96567,47,1
EMP1065,26,4,2,60818,68575,54,1
EMP1066,20,10,5,99909,109474,44,0
EMP1067,17,13,5,25895,40633,26,1
EMP1068,16,14,4,74045,76067,32,1
EMP1069,19,11,3,60764,64771,18,1
EMP1070,18,12,2,93744,107333,28,1
EMP1071,28,2,4,63525,72959,59,1
EMP1072,23,7,4,38711,37131,48,1
EMP1073,28,2,4,86235,81425,20,0
EMP1074,21,9,0,46641,43457,41,0
EMP1075,29,1,5,86105,86547,39,0
EMP1076,28,2,1,92991,92005,21,0
EMP1077,21,9,1,76958,88496,41,0
EMP1078,16,14,1,86320,89416,8,1
EMP1079,25,5,5,74748,75549,54,1
EMP1080,24,6,2,70993,76640,12,0
EMP1081,26,4,1,90316,87684,7,0
EMP1082,28,2,5,75766,84169,33,0
EMP1083,16,14,5,72921,84879,21,1
EMP1084,24,6,1,76661,81568,41,0
EMP1085,20,10,5,35338,32829,36,0
EMP1086,15,15,4,23051,34030,4,1
EMP1087,21,9,3,74021,69897,31,0
EMP1088,18,12,5,89678,99880,54,1
EMP1089,22,8,3,37019,45436,29,0
EMP1090,17,13,0,93847,106061,18,1
EMP1091,26,4,1,45945,49253,22,0
EMP1092,29,1,0,94740,107788,57,1
EMP1093,24,6,0,66175,68980,53,1
EMP1094,23,7,4,23343,31843,38,0
EMP1095,29,1,4,79638,82768,11,0
EMP1096,24,6,2,33284,35537,56,1
EMP1097,27,3,5,29435,35745,48,1
EMP1098,28,2,5,98781,104932,25,0
EMP1099,24,6,4,82752,82204,22,0
EMP1100,24,6,1,99605,97454,51,1
EMP1101,29,1,1,43289,50211,57,1
EMP1102,15,15,4,36364,35975,15,1
EMP1103,22,8,1,69115,64966,23,0
EMP1104,26,4,1,31938,29365,32,0
EMP1105,15,15,4,58304,66783,9,1
EMP1106,25,5,3,40764,46400,11,0
EMP1107,29,1,5,32161,29243,22,0
EMP1108,15,15,1,45351,56632,9,1
EMP1109,24,6,5,85953,89761,6,0
EMP1110,18,12,1,58513,64851,28,1
EMP1111,22,8,3,53496,60153,36,0
EMP1112,23,7,2,37955,38028,48,1
EMP1113,21,9,5,52479,59522,48,1
EMP1114,21,9,4,63286,72838,34,0
EMP1115,23,7,5,34397,38184,47,1
EMP1116,23,7,5,86234,88420,48,1
EMP1117,18,12,3,83932,86332,18,1
EMP1118,26,4,0,55270,67371,30,1
EMP1119,18,12,2,80921,81407,15,1
EMP1120,19,11,4,31130,33781,52,1
EMP1121,21,9,0,21062,34602,52,1
EMP1122,24,6,1,31174,30903,4,0
EMP1123,17,13,4,26801,26647,11,1
EMP1124,23,7,1,92592,99108,37,0
EMP1125,21,9,5,66732,79307,41,1
EMP1126,23,7,1,39065,51989,28,1
EMP1127,19,11,5,46962,55769,44,1
EMP1128,15,15,5,77854,80348,24,1
EMP1129,27,3,3,55909,70779,18,1
EMP1130,27,3,3,46790,57275,2,0
EMP1131,27,3,4,29435,28144,57,1
EMP1132,18,12,3,77799,85915,40,1
EMP1133,21,9,0,59298,64486,27,0
EMP1134,28,2,0,48016,43839,32,0
EMP1135,20,10,4,87641,86268,44,0
EMP1136,27,3,4,40559,46562,36,0
EMP1137,18,12,2,50354,59197,56,1
EMP1138,16,14,0,72528,73173,14,1
EMP1139,29,1,0,88866,102953,22,1
EMP1140,23,7,2,98859,95212,31,0
EMP1141,22,8,5,43959,39626,52,1
EMP1142,22,8,1,66427,65146,57,1
EMP1143,26,4,1,53307,53271,40,0
EMP1144,18,12,2,67605,69917,8,1
EMP1145,15,15,4,77043,74822,47,1
EMP1146,27,3,4,54349,69057,5,1
EMP1147,16,14,2,69407,69211,46,1
EMP1148,23,7,1,85545,99800,29,1
EMP1149,16,14,2,57892,53907,32,1
EMP1150,20,10,0,28415,36965,48,1
EMP1151,25,5,4,43833,42991,24,0
EMP1152,20,10,2,92474,101246,32,0
EMP1153,16,14,0,28702,24086,20,1
EMP1154,21,9,5,32763,46147,4,1
EMP1155,29,1,4,70612,69248,36,0
EMP1156,24,6,1,73330,81786,20,0
EMP1157,28,2,0,58765,55813,50,1
EMP1158,27,3,4,77091,76635,48,1
EMP1159,22,8,1,56187,65617,7,0
EMP1160,21,9,1,78017,83374,2,0
EMP1161,25,5,1,57131,62307,53,1
EMP1162,26,4,4,44285,44143,56,1
EMP1163,15,15,4,59764,66937,1,1
EMP1164,25,5,2,79494,90275,59,1
EMP1165,16,14,5,75393,78410,29,1
EMP1166,29,1,2,81886,87095,51,1
EMP1167,23,7,5,76800,81350,59,1
EMP1168,28,2,1,63088,76652,28,1
EMP1169,18,12,1,75479,90335,9,1
EMP1170,15,15,3,75123,74287,33,1
EMP1171,20,10,4,25569,24869,42,0
EMP1172,25,5,2,26254,38398,22,1
EMP1173,21,9,2,31637,39284,3,0
EMP1174,22,8,0,53434,52622,31,0
EMP1175,16,14,4,31314,39205,41,1
EMP1176,27,3,5,99252,101233,0,0
EMP1177,19,11,0,36907,50684,45,1
EMP1178,16,14,0,43624,49112,46,1
EMP1179,23,7,5,30478,37872,47,1
EMP1180,27,3,0,84291,92859,7,0
EMP1181,15,15,2,70428,65730,55,1
EMP1182,20,10,5,48699,51849,13,0
EMP1183,22,8,1,36748,38557,13,0
EMP1184,25,5,2,25126,25248,46,1
EMP1185,21,9,5,75658,76528,59,1
EMP1186,27,3,1,54674,52760,24,0
EMP1187,21,9,4,30267,26329,56,1
EMP1188,15,15,5,76793,88302,43,1
EMP1189,23,7,0,23596,30071,24,0
EMP1190,18,12,1,93794,105410,44,1
EMP1191,16,14,3,46069,55438,46,1
EMP1192,22,8,0,43275,45013,41,0
EMP1193,23,7,4,82981,97104,25,1
EMP1194,16,14,2,95703,101257,44,1
EMP1195,20,10,4,48024,60868,21,1
EMP1196,19,11,5,21605,22227,47,1
EMP1197,18,12,5,76138,91039,29,1
EMP1198,29,1,0,33046,30636,39,0
EMP1199,19,11,3,29111,29453,5,1
EMP1200,16,14,3,99579,103416,53,1
EMP1201,15,15,5,33234,33794,1,1
EMP1202,29,1,2,99239,109624,50,1
EMP1203,27,3,3,26469,30802,3,0
EMP1204,17,13,3,69376,77195,48,1
EMP1205,26,4,0,98477,106084,37,0
EMP1206,19,11,5,40618,42606,42,1
EMP1207,17,13,0,79383,74392,4,1
EMP1208,21,9,1,22219,24260,12,0
EMP1209,22,8,1,54387,57899,36,0
EMP1210,23,7,0,99767,98257,29,0
EMP1211,29,1,0,32219,27454,49,1
EMP1212,28,2,4,28567,27097,8,0
EMP1213,16,14,3,93698,107642,39,1
EMP1214,20,10,3,25951,28958,10,0
EMP1215,23,7,4,50523,61047,4,0
EMP1216,17,13,2,20077,22654,3,1
EMP1217,23,7,4,63303,67813,39,0
EMP1218,28,2,2,93340,94905,32,0
EMP1219,21,9,0,39096,36288,32,0
EMP1220,29,1,1,38381,37068,39,0
EMP1221,17,13,2,61157,73743,7,1
EMP1222,24,6,3,91324,91732,51,1
EMP1223,28,2,2,71356,77145,56,1
EMP1224,15,15,4,84484,96818,32,1
EMP1225,28,2,3,39029,38641,58,1
EMP1226,24,6,0,66197,67568,44,0
EMP1227,22,8,3,60631,58859,7,0
EMP1228,19,11,4,34382,48137,11,1
EMP1229,27,3,1,36478,34152,50,1
EMP1230,18,12,3,91315,98613,9,1
EMP1231,22,8,5,32999,28813,25,0
EMP1232,28,2,2,22443,27900,12,0
EMP1233,22,8,5,37368,47696,46,1
EMP1234,22,8,3,47306,62221,43,1
EMP1235,18,12,3,84644,85603,41,1
EMP1236,15,15,3,85310,91951,8,1
EMP1237,20,10,2,64327,62695,21,0
EMP1238,25,5,0,96589,95065,25,0
EMP1239,28,2,3,39256,37328,53,1
EMP1240,21,9,2,83374,81082,46,1
EMP1241,23,7,4,77545,92436,56,1
EMP1242,19,11,1,33224,36194,51,1
EMP1243,23,7,1,93509,97086,6,0
EMP1244,16,14,2,77761,76361,42,1
EMP1245,25,5,3,99026,111615,23,1
EMP1246,23,7,3,65765,80721,23,1
EMP1247,15,15,0,57148,56905,25,1
EMP1248,26,4,1,47696,60046,16,1
EMP1249,18,12,0,69840,69083,53,1
EMP1250,20,10,3,41566,46482,39,0
EMP1251,15,15,0,21759,25940,22,1
EMP1252,17,13,2,53719,50798,29,1
EMP1253,27,3,0,62460,64771,39,0
EMP1254,17,13,1,53536,54026,46,1
EMP1255,16,14,1,26645,26877,49,1
EMP1256,28,2,5,45522,60241,28,1
EMP1257,21,9,2,98623,98496,9,0
EMP1258,17,13,5,72603,82025,54,1
EMP1259,26,4,1,96534,105829,22,0
EMP1260,25,5,4,94055,108749,36,1
EMP1261,17,13,2,44160,42214,7,1
EMP1262,16,14,2,54911,59414,55,1
EMP1263,28,2,2,32175,35531,53,1
EMP1264,19,11,5,86358,98685,17,1
EMP1265,21,9,1,36032,33230,20,0
EMP1266,17,13,4,61874,70733,28,1
EMP1267,26,4,1,28705,33817,46,1
EMP1268,19,11,3,35358,31767,2,1
EMP1269,21,9,3,34596,30400,37,0
EMP1270,28,2,0,82516,84599,34,0
EMP1271,18,12,1,37771,45651,9,1
EMP1272,28,2,2,57599,71751,49,1
EMP1273,17,13,0,22573,30381,39,1
EMP1274,16,14,4,80774,93459,42,1
EMP1275,28,2,3,75961,79594,28,0
EMP1276,27,3,1,94532,105990,5,0
EMP1277,16,14,4,58243,60427,36,1
EMP1278,23,7,5,98411,95033,52,1
EMP1279,24,6,5,81396,94854,56,1
EMP1280,29,1,5,49402,48665,33,0
EMP1281,26,4,4,67924,71570,9,0
EMP1282,27,3,0,55737,53765,27,0
EMP1283,28,2,1,56397,54464,53,1
EMP1284,25,5,0,39250,45805,50,1
EMP1285,24,6,4,77492,79311,48,1
EMP1286,25,5,2,48769,46480,53,1
EMP1287,20,10,4,41792,44507,46,1
EMP1288,18,12,2,87298,98148,16,1
EMP1289,28,2,2,65420,66542,33,0
EMP1290,23,7,1,21524,18644,8,0
EMP1291,22,8,0,74912,71152,42,0
EMP1292,22,8,1,33350,40768,49,1
EMP1293,19,11,3,95186,110119,37,1
EMP1294,16,14,3,71474,82788,58,1
EMP1295,15,15,4,41520,53233,56,1
EMP1296,21,9,0,77134,73475,15,0
EMP1297,22,8,2,91431,98685,20,0
EMP1298,15,15,4,87957,90076,5,1
EMP1299,22,8,0,75761,82679,58,1
EMP1300,24,6,0,47935,47808,15,0
EMP1301,21,9,0,32182,46723,57,1
EMP1302,21,9,5,57198,61018,6,0
EMP1303,23,7,2,93543,106448,58,1
EMP1304,21,9,4,26737,25031,29,0
EMP1305,18,12,2,57265,70115,41,1
EMP1306,21,9,0,94910,109517,34,1
EMP1307,26,4,3,77132,85541,2,0
EMP1308,19,11,2,22983,30634,38,1
EMP1309,29,1,0,64547,74864,24,0
EMP1310,27,3,1,99273,103596,1,0
EMP1311,21,9,2,72393,67938,29,0
EMP1312,25,5,4,47788,58563,31,0
EMP1313,17,13,2,59974,63979,51,1
EMP1314,27,3,5,71184,74620,43,0
EMP1315,23,7,3,78606,84222,9,0
EMP1316,28,2,0,44574,43004,19,0
EMP1317,19,11,0,52733,49783,44,1
EMP1318,28,2,5,54801,49946,36,0
EMP1319,23,7,0,55400,54894,48,1
EMP1320,23,7,3,63001,59829,36,0
EMP1321,25,5,3,57573,53379,55,1
EMP1322,29,1,5,49757,46625,33,0
EMP1323,23,7,3,82211,93431,53,1
EMP1324,19,11,2,54157,60750,42,1
EMP1325,16,14,0,47376,53121,2,1
EMP1326,22,8,5,70948,74193,46,1
EMP1327,21,9,0,66600,72962,19,0
EMP1328,24,6,0,46172,51278,41,0
EMP1329,17,13,1,45425,54976,2,1
EMP1330,17,13,5,74028,76315,46,1
EMP1331,23,7,0,54701,67465,33,1
EMP1332,25,5,0,43874,49748,27,0
EMP1333,27,3,0,37602,37618,33,0
EMP1334,26,4,1,49192,57966,39,0
EMP1335,23,7,4,78762,91100,33,1
EMP1336,22,8,3,53742,52875,7,0
EMP1337,25,5,4,90831,99744,17,0
EMP1338,20,10,4,29903,27923,27,0
EMP1339,19,11,4,65648,65881,39,1
EMP1340,27,3,5,22396,35942,57,1
EMP1341,17,13,1,91719,88031,5,1
EMP1342,22,8,2,39623,36762,32,0
EMP1343,25,5,2,53130,67118,24,1
EMP1344,19,11,1,89274,86743,59,1
EMP1345,21,9,4,68874,80814,57,1
EMP1346,23,7,2,74302,84172,41,0
EMP1347,24,6,2,97236,95977,38,0
EMP1348,29,1,1,38787,49864,12,0
EMP1349,27,3,3,53062,58239,31,0
EMP1350,27,3,5,95418,91554,40,0
EMP1351,15,15,1,32987,32530,23,1
EMP1352,27,3,2,21007,21452,18,0
EMP1353,28,2,1,62207,70488,27,0
EMP1354,26,4,5,46660,46744,21,0
EMP1355,18,12,3,65539,78188,3,1
EMP1356,25,5,0,83888,86961,53,1
EMP1357,15,15,5,40953,47336,58,1
EMP1358,16,14,1,43821,43620,46,1
EMP1359,27,3,3,97475,94903,11,0
EMP1360,21,9,4,64064,66877,46,1
EMP1361,29,1,2,47082,53883,33,0
EMP1362,28,2,1,34288,35828,40,0
EMP1363,21,9,4,95932,108414,51,1
EMP1364,16,14,5,72307,70400,10,1
EMP1365,25,5,2,64413,74496,55,1
EMP1366,26,4,4,73268,74714,15,0
EMP1367,19,11,2,73331,84464,18,1
EMP1368,23,7,4,25626,28050,57,1
EMP1369,26,4,5,39982,46407,34,0
EMP1370,15,15,0,46385,46775,43,1
EMP1371,25,5,3,59341,71709,16,1
EMP1372,27,3,4,28711,32493,26,0
EMP1373,28,2,1,50707,52049,2,0
EMP1374,27,3,3,25655,32746,57,1
EMP1375,17,13,3,20526,18750,29,1
EMP1376,28,2,0,48541,57088,19,0
EMP1377,18,12,0,85455,89663,59,1
EMP1378,29,1,5,25109,36609,1,0
EMP1379,22,8,2,49759,48926,20,0
EMP1380,16,14,5,50015,62788,46,1
EMP1381,29,1,5,46143,47297,44,0
EMP1382,23,7,0,71195,86075,7,1
EMP1383,25,5,5,89298,97697,40,0
EMP1384,15,15,3,72269,73060,14,1
EMP1385,20,10,5,68787,66507,9,0
EMP1386,22,8,1,83483,94868,32,0
EMP1387,15,15,0,65004,78337,32,1
EMP1388,27,3,3,76985,89286,38,1
EMP1389,16,14,5,43398,38487,45,1
EMP1390,24,6,1,88577,83682,54,1
EMP1391,26,4,0,71047,72137,2,0
EMP1392,25,5,5,46015,41567,49,1
EMP1393,26,4,1,23389,32018,46,1
EMP1394,25,5,2,66163,61370,3,0
EMP1395,20,10,1,94137,90031,2,0
EMP1396,29,1,0,56877,65135,17,0
EMP1397,20,10,3,30326,37113,12,0
EMP1398,23,7,4,46745,61556,44,1
EMP1399,22,8,4,22356,22146,31,0
EMP1400,17,13,3,40049,45230,17,1
EMP1401,17,13,5,57412,68123,55,1
EMP1402,23,7,2,80315,89340,50,1
EMP1403,17,13,4,36309,44827,32,1
EMP1404,21,9,3,92541,101577,30,0
EMP1405,24,6,4,94131,104271,3,0
EMP1406,26,4,3,59443,55398,23,0
EMP1407,16,14,0,24703,26266,57,1
EMP1408,19,11,1,42015,49018,1,1
EMP1409,29,1,1,96707,104289,41,0
EMP1410,17,13,2,65241,69702,11,1
EMP1411,17,13,4,77056,92031,35,1
EMP1412,28,2,1,86061,97446,54,1
EMP1413,19,11,4,64965,64613,53,1
EMP1414,26,4,4,90135,87413,24,0
EMP1415,18,12,1,89350,97475,16,1
EMP1416,25,5,0,87649,92887,0,0
EMP1417,22,8,3,81367,88955,22,0
EMP1418,29,1,2,72233,79203,53,1
EMP1419,28,2,1,91260,97343,29,0
EMP1420,23,7,0,26276,36911,7,0
EMP1421,25,5,3,91635,96134,56,1
EMP1422,25,5,4,71886,73002,11,0
EMP1423,19,11,0,29847,38982,27,1
EMP1424,29,1,5,20619,33277,19,1
EMP1425,16,14,5,86504,96350,36,1
EMP1426,18,12,1,47420,57780,54,1
EMP1427,17,13,5,96260,96438,4,1
EMP1428,15,15,0,84178,80407,11,1
EMP1429,24,6,3,55057,51296,58,1
EMP1430,25,5,5,65272,75670,30,0
EMP1431,22,8,2,88785,92895,43,0
EMP1432,20,10,3,59062,59819,44,0
EMP1433,18,12,1,63753,76028,54,1
EMP1434,22,8,1,43196,45715,37,0
EMP1435,19,11,5,68320,77966,54,1
EMP1436,24,6,2,75409,85913,25,0
EMP1437,22,8,0,70138,75193,24,0
EMP1438,28,2,3,51890,60488,15,0
EMP1439,28,2,4,62287,70667,40,0
EMP1440,24,6,5,56059,55092,49,1
EMP1441,20,10,0,80576,83424,24,0
EMP1442,27,3,0,86024,88138,3,0
EMP1443,16,14,4,49165,45832,37,1
EMP1444,17,13,5,56321,59082,12,1
EMP1445,23,7,2,37772,38222,0,0
EMP1446,22,8,5,71924,70650,0,0
EMP1447,26,4,1,29108,36286,59,1
EMP1448,27,3,0,28927,38364,25,0
EMP1449,25,5,2,96743,94732,8,0
EMP1450,17,13,4,26471,24334,1,1
EMP1451,20,10,3,51348,47525,24,0
EMP1452,26,4,4,73551,80107,14,0
EMP1453,26,4,3,93770,104943,49,1
EMP1454,26,4,2,78348,73754,42,0
EMP1455,21,9,4,59310,63216,50,1
EMP1456,29,1,3,98612,110136,21,0
EMP1457,17,13,1,66413,67425,3,1
EMP1458,19,11,3,56378,61262,46,1
EMP1459,26,4,2,74691,79564,1,0
EMP1460,15,15,4,43171,40308,24,1
EMP1461,28,2,2,64139,75084,38,0
EMP1462,27,3,0,94172,95613,55,1
EMP1463,18,12,3,32149,28947,53,1
EMP1464,15,15,3,91031,95931,41,1
EMP1465,29,1,2,85429,81729,21,0
EMP1466,26,4,0,72249,71865,14,0
EMP1467,24,6,1,95388,96683,15,0
EMP1468,15,15,1,54084,61421,23,1
EMP1469,17,13,3,27227,25500,24,1
EMP1470,16,14,2,85481,83521,54,1
EMP1471,16,14,4,84174,96040,43,1
EMP1472,16,14,0,37014,47010,16,1
EMP1473,20,10,4,36014,32001,6,0
EMP1474,25,5,1,94696,107180,56,1
EMP1475,28,2,0,37727,46841,6,0
EMP1476,19,11,1,52117,58660,59,1
EMP1477,28,2,2,58467,71092,37,1
EMP1478,24,6,4,74253,81576,39,0
EMP1479,19,11,0,93379,102589,8,1
EMP1480,22,8,0,30106,30295,40,0
EMP1481,21,9,3,92240,90953,59,1
EMP1482,19,11,3,56378,55633,20,1
EMP1483,22,8,5,54503,57761,53,1
EMP1484,26,4,4,65113,67539,21,0
EMP1485,20,10,1,39201,43887,29,0
EMP1486,18,12,5,64843,74631,12,1
EMP1487,27,3,0,48982,44189,41,0
EMP1488,28,2,5,88619,97330,11,0
EMP1489,22,8,3,30754,27433,29,0
EMP1490,27,3,3,75922,86385,53,1
EMP1491,19,11,3,82711,86266,0,1
EMP1492,23,7,5,33395,33290,32,0
EMP1493,19,11,3,85061,89776,33,1
EMP1494,27,3,5,36163,36945,49,1
EMP1495,27,3,1,55585,65681,8,0
EMP1496,15,15,2,58067,62984,22,1
EMP1497,24,6,3,84977,84383,5,0
EMP1498,17,13,5,85450,90832,21,1
EMP1499,26,4,4,81929,81036,46,1
EMP1500,15,15,1,45169,41995,29,1
EMP1501,22,8,1,83133,85762,5,0
EMP1502,17,13,3,60461,63725,14,1
EMP1503,19,11,2,26721,41083,17,1
EMP1504,28,2,3,75249,86376,9,0
EMP1505,23,7,1,94520,97806,13,0
EMP1506,15,15,5,51055,50972,45,1
EMP1507,27,3,3,31138,28668,40,0
EMP1508,20,10,0,91308,101784,33,0
EMP1509,22,8,4,37347,49267,14,0
EMP1510,18,12,4,27967,35382,31,1
EMP1511,26,4,4,94270,90115,19,0
EMP1512,16,14,4,75099,72593,5,1
EMP1513,27,3,2,80545,80724,22,0
EMP1514,17,13,2,99364,104509,9,1
EMP1515,23,7,1,75677,74527,49,1
EMP1516,27,3,0,57846,65014,34,0
EMP1517,19,11,0,70331,74405,6,1
EMP1518,26,4,0,66851,63489,39,0
EMP1519,15,15,4,86918,83321,51,1
EMP1520,27,3,3,32411,31928,38,0
EMP1521,16,14,4,52371,53064,34,1
EMP1522,21,9,2,46715,43264,6,0
EMP1523,19,11,4,96373,95089,54,1
EMP1524,16,14,5,26548,40225,37,1
EMP1525,29,1,4,43177,46170,55,1
EMP1526,21,9,4,80428,90256,20,0
EMP1527,19,11,1,67076,62747,35,1
EMP1528,15,15,2,73744,73539,10,1
EMP1529,29,1,4,49300,55049,3,0
EMP1530,16,14,3,57487,53080,39,1
EMP1531,17,13,0,48380,63257,41,1
EMP1532,19,11,1,73352,68368,55,1
EMP1533,23,7,0,84641,96596,47,1
EMP1534,27,3,0,40281,53944,20,1
EMP1535,26,4,2,48602,62233,48,1
EMP1536,29,1,0,27099,37015,31,0
EMP1537,26,4,0,42614,46837,12,0
EMP1538,22,8,0,83530,81986,44,0
EMP1539,17,13,2,96816,109868,19,1
EMP1540,19,11,1,30142,41891,35,1
EMP1541,25,5,3,84027,87991,29,0
EMP1542,20,10,1,62533,70812,47,1
EMP1543,26,4,0,37630,35006,1,0
EMP1544,29,1,1,97360,110571,3,1
EMP1545,28,2,0,79560,87064,57,1
EMP1546,21,9,5,26910,35999,20,0
EMP1547,18,12,3,25978,38131,53,1
EMP1548,27,3,4,59071,68757,15,0
EMP1549,26,4,1,77866,89771,14,0
EMP1550,15,15,1,46806,54038,24,1
EMP1551,22,8,2,74093,85470,24,0
EMP1552,16,14,5,97811,95272,19,1
EMP1553,19,11,3,84946,80631,48,1
EMP1554,22,8,4,97794,108784,38,0
EMP1555,15,15,3,70408,76590,17,1
EMP1556,19,11,4,35997,45212,45,1
EMP1557,22,8,5,34571,39522,10,0
EMP1558,20,10,5,78712,84485,27,0
EMP1559,27,3,4,33057,40557,14,0
EMP1560,18,12,2,68689,75559,14,1
EMP1561,17,13,3,77804,83321,42,1
EMP1562,19,11,4,86912,90618,53,1
EMP1563,17,13,4,49725,50651,43,1
EMP1564,29,1,0,76447,74747,46,1
EMP1565,22,8,1,85095,96993,0,0
EMP1566,18,12,2,41727,46774,41,1
EMP1567,16,14,2,88056,86137,20,1
EMP1568,28,2,2,45498,51827,40,0
EMP1569,27,3,0,67701,73174,25,0
EMP1570,24,6,5,55851,68272,56,1
EMP1571,16,14,4,35379,49397,15,1
EMP1572,17,13,5,32087,44595,57,1
EMP1573,18,12,4,38313,48184,53,1
EMP1574,17,13,1,87364,90273,20,1
EMP1575,20,10,4,84429,85320,59,1
EMP1576,23,7,4,35379,41201,3,0
EMP1577,27,3,5,89122,100209,36,0
EMP1578,24,6,3,56727,62732,23,0
EMP1579,16,14,5,34226,40380,48,1
EMP1580,29,1,5,75506,83199,23,0
EMP1581,27,3,3,86077,86170,52,1
EMP1582,29,1,3,30258,41302,35,0
EMP1583,28,2,0,96256,92425,51,1
EMP1584,15,15,2,45051,49569,10,1
EMP1585,23,7,3,41621,46649,32,0
EMP1586,15,15,5,54051,66094,47,1
EMP1587,29,1,2,50254,63763,59,1
EMP1588,25,5,0,23471,27499,56,1
EMP1589,18,12,4,28329,25426,2,1
EMP1590,27,3,2,26397,24154,16,0
EMP1591,25,5,4,43284,56117,34,1
EMP1592,28,2,1,82812,85811,36,0
EMP1593,18,12,0,45279,50874,5,1
EMP1594,24,6,3,49309,59387,38,0
EMP1595,16,14,2,22839,21223,35,1
EMP1596,20,10,0,33493,45562,59,1
EMP1597,26,4,3,27736,30446,19,0
EMP1598,22,8,0,65603,75864,23,0
EMP1599,26,4,1,29557,33992,6,0
EMP1600,17,13,3,93997,106012,9,1
EMP1601,20,10,1,27896,23100,5,0
EMP1602,26,4,0,25347,22990,17,0
EMP1603,24,6,2,35892,45423,49,1
EMP1604,15,15,2,34289,46344,55,1
EMP1605,25,5,3,97454,101589,6,0
EMP1606,19,11,1,97465,95004,55,1
EMP1607,28,2,0,40644,54389,20,1
EMP1608,16,14,4,54521,67843,50,1
EMP1609,23,7,4,49055,54178,56,1
EMP1610,27,3,0,26304,28649,52,1
EMP1611,18,12,1,35352,30949,54,1
EMP1612,15,15,0,95415,90987,33,1
EMP1613,26,4,1,38474,47466,38,0
EMP1614,20,10,0,87169,100070,5,1
EMP1615,16,14,0,67945,76085,4,1
EMP1616,16,14,5,88673,83770,15,1
EMP1617,17,13,4,89286,92821,46,1
EMP1618,22,8,5,50651,50317,9,0
EMP1619,17,13,2,30800,30855,31,1
EMP1620,21,9,4,32819,37188,3,0
EMP1621,28,2,3,50933,51707,55,1
EMP1622,22,8,4,38133,48072,13,0
EMP1623,25,5,4,47624,49447,57,1
EMP1624,26,4,1,49118,46231,24,0
EMP1625,22,8,5,40354,45537,43,0
EMP1626,15,15,1,61971,75629,5,1
EMP1627,21,9,3,46390,60200,49,1
EMP1628,25,5,2,26852,24403,11,0
EMP1629,24,6,3,53243,58646,36,0
EMP1630,19,11,0,41038,44116,47,1
EMP1631,28,2,1,26971,41880,11,1
